 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
    365    12    31  2001     50       0  rtu0500                0.702   20776.691       0.000    1220.964       8.925       0.000     287.223     280.099       0.516       0.007       0.101     195.132       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     51       0  rtu0510                3.950   22499.168       0.000     380.436       8.878       0.000     194.512     274.756     145.278       0.321       0.278      50.167       0.000      11.751       6.014       8.882      10.025       0.000       0.000       0.409
    365    12    31  2001     52       0  rtu0520                3.950   22368.105       0.000     381.127       8.755       0.000     202.351     280.102     161.296       0.487       0.204      37.249       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     53       0  rtu0530                3.950   23114.521       0.000     403.515       9.015       0.000     242.906     280.099      83.215       0.088       0.645     123.310       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     54       0  rtu0540                0.702   23267.484       0.000    1330.161       8.962       0.000     231.183     280.099       0.000       0.046       0.118     119.864       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     55       0  rtu0550                3.950   21808.943       0.000     364.449       8.822       0.000     241.075     280.099     161.089       0.026       0.203      51.209       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     56       0  rtu0560                2.628   24041.740       0.000     739.738       8.168       0.000     102.511     267.276      34.368       0.982       0.437      38.266       0.000      11.385       5.648       8.516       9.029       0.000       0.000       0.432
    365    12    31  2001     57       0  rtu0570                0.623   20351.814       0.000    1062.727       8.008       0.000     290.621     260.341      22.976       0.000       0.092      87.774       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     58       0  rtu0580                3.952   23551.869       0.000     388.353       8.279       0.000     154.321     260.341      61.917       1.076       0.622      80.840       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     59       0  rtu0590                3.950   22348.115       0.000     382.596       8.757       0.000     183.637     280.099     161.734       0.422       0.202      30.003       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     60       0  rtu0600                0.270    9869.119       0.000     497.663       8.115       0.000      67.577     112.814       0.000       0.014       0.060      45.473       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     61       0  rtu0610                0.702   22771.580       0.000    1308.038       8.983       0.000     253.291     280.099       0.000       0.034       0.110     139.586       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     62       0  rtu0620                0.504   38353.191       0.000    5858.228       8.168       0.000      62.095     260.341       3.464       0.000       0.248      14.669       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     63       0  rtu0630                0.645   29817.367       0.000    3297.180       8.572       0.000     149.839     280.099       7.374       0.049       0.220      36.573       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     64       0  rtu0640                0.567   29738.084       0.000    3291.766       7.912       0.000      84.906     260.344      23.385       0.028       0.120      16.057       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     65       0  rtu0650                0.702   22048.906       0.000    1272.214       8.427       0.000     233.406     280.099      26.097       0.039       0.127      46.267       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     66       0  rtu0660                1.954   10365.453       0.000     164.536       8.210       0.000     140.141     128.710      40.072       0.002       0.287     113.223       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     67       0  rtu0670                0.565   37567.121       0.000    5753.750       8.648       0.000     293.386     280.099      30.401       0.000       0.180     110.042       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     68       0  rtu0680                0.423   19969.492       0.000    1881.086       7.888       0.000      19.432     188.354      14.761       0.030       0.090       8.630       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     69       0  rtu0690                0.623   23355.945       0.000    1164.963       8.185       0.000     116.085     260.341       6.590       0.061       0.137      18.454       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     70       0  rtu0700                0.542   32961.156       0.000    4231.373       7.909       0.000      80.909     260.341      25.473       0.015       0.121      15.345       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     71       0  rtu0710                0.000       0.000       0.000       0.000       8.087       0.000       0.000       0.000       0.000       0.000       0.000      80.264       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     72       0  rtu0720                3.950   22718.828       0.000     394.251       8.715       0.000     162.123     280.099     161.970       0.765       0.203      21.292       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     73       0  rtu0730                0.623   23747.271       0.000    1177.975       8.227       0.000      82.227     260.341       0.000       0.039       0.143      21.329       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     74       0  rtu0740                0.623   23316.053       0.000    1160.786       8.187       0.000     134.603     260.341       7.059       0.079       0.147      24.105       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     75       0  rtu0750                0.565   38487.207       0.000    6115.115       8.528       0.000      49.457     280.099      10.219       0.000       0.255      17.171       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     76       0  rtu0760                3.950   22266.781       0.000     381.873       8.764       0.000     187.619     280.099     161.652       0.344       0.202      31.990       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     77       0  rtu0770                3.951   24077.471       0.000     380.684       8.995       0.982     114.871     247.055     130.179       1.651       0.287      30.084       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     78       0  rtu0780                0.552   31780.805       0.000    3833.578       7.901       0.000      44.655     260.341      23.268       0.025       0.124      10.601       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     79       0  rtu0790                0.702   22611.000       0.000    1294.059       8.400       0.000     189.319     280.099      25.088       0.061       0.134      32.730       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     80       0  rtu0800                3.950   22725.910       0.000     399.388       8.712       0.000     158.709     280.099     161.951       0.743       0.203      20.368       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     81       0  rtu0810                3.951   26433.379       0.000     408.731       9.097       0.000     101.794     247.055      66.926       3.673       0.626      58.753       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     82       0  rtu0820                0.571   29258.080       0.000    3117.756       7.905       0.000      68.530     260.339      22.219       0.033       0.123      12.100       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     83       0  rtu0830                3.951   22758.006       0.000     360.276       9.137       0.000     161.565     247.055     146.755       0.426       0.179      32.465       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     84       0  rtu0840                0.670   29313.061       0.000    3913.442       7.373       0.000     168.088     357.558      25.314       0.017       0.153      24.710       0.000      10.629       4.892       7.760       9.029       0.000       0.000       0.392
    365    12    31  2001     85       0  rtu0850                0.000       0.000       0.000       0.000       8.735       0.000       0.000       0.000       0.000       0.000       0.000      16.359       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     86       0  rtu0860                0.654   28128.475       0.000    2977.358       8.379       0.000     165.342     280.099      31.448       0.031       0.141      26.739       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     87       0  rtu0870                0.000       0.000       0.000       0.000       8.718       0.000       0.000       0.000       0.000       0.000       0.000      12.523       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     88       0  rtu0880                0.000       0.000       0.000       0.000       7.737       0.000       0.000       0.000       0.000       0.000       0.000      17.033       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     89       0  rtu0890                2.005   24234.852       0.000     857.948       8.232       0.000     109.755     260.344      25.284       0.821       0.349      33.536       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     90       0  rtu0900                0.702   21931.354       0.000    1264.096       8.440       0.000     254.271     280.099      32.361       0.057       0.119      51.172       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
