 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday   mon   day    yr    unit  gis_id     name         grzn        grzp        lab_min_p        act_sta_p            fertn            fertp             fixn            denit        act_nit_n        act_sta_n        org_lab_p     rsd_nitorg_n     rsd_laborg_p          no3atmo          nh4atmo
                                                          kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   365    12    31  2001      61       0  rtu0610                0.000       0.000       9.894       5.670       0.000       0.000            0.000          299.576          665.618            7.820           51.630          112.894            1.234            0.000            0.000
   365    12    31  2001      62       0  rtu0620                0.000       0.000       9.643       5.013       0.000       0.000            0.000           38.385          560.698            7.753           43.650          119.156           18.137            0.000            0.000
   365    12    31  2001      63       0  rtu0630                0.000       0.000       3.734       0.623       0.000       0.000            0.000           73.616          392.617            5.042           30.562           38.223            8.903            0.000            0.000
   365    12    31  2001      64       0  rtu0640                0.000       0.000       2.221      -0.695       0.000       0.000            0.000           28.200          338.285            4.543           26.353           11.258            8.862            0.000            0.000
   365    12    31  2001      65       0  rtu0650                0.000       0.000       2.093      -0.706       0.000       0.000            0.000          135.877          367.249            4.364           28.540            0.065            1.472            0.000            0.000
   365    12    31  2001      66       0  rtu0660                0.000       0.000      11.042       5.872       0.000       0.000            0.000          188.836          612.210            7.920           47.645           25.102           17.423            0.000            0.000
   365    12    31  2001      67       0  rtu0670                0.000       0.000       6.580       1.714       0.000       0.000            0.000          219.221          437.662            4.816           34.100           43.124           19.932            0.000            0.000
   365    12    31  2001      68       0  rtu0680                0.000       0.000       1.896      -0.759       0.000       0.000            0.000           10.305          325.572            4.583           25.341            5.716            4.453            0.000            0.000
   365    12    31  2001      69       0  rtu0690                0.000       0.000       5.926       3.645       0.000       0.000            0.000           55.042          428.305            5.882           33.285           65.943            0.222            0.000            0.000
   365    12    31  2001      70       0  rtu0700                0.000       0.000       2.477      -0.672       0.000       0.000            0.000           28.773          338.739            4.546           26.407           16.110           12.478            0.000            0.000
   365    12    31  2001      71       0  rtu0710                0.000       0.000       7.792       3.917       0.000       0.000            0.000          191.670          558.871            8.175           43.410            0.000            0.000            0.000            0.000
   365    12    31  2001      72       0  rtu0720                0.000       0.000       6.804       3.827       0.000       0.000            0.000           13.718          180.550            2.410           14.293            0.353           36.847            0.000            0.000
   365    12    31  2001      73       0  rtu0730                0.000       0.000       8.125       4.876       0.000       0.000            0.000           78.029          594.301            8.208           46.158          112.339            0.095            0.000            0.000
   365    12    31  2001      74       0  rtu0740                0.000       0.000       5.812       3.564       0.000       0.000            0.000           64.797          414.665            5.616           32.224           58.568            0.227            0.000            0.000
   365    12    31  2001      75       0  rtu0750                0.000       0.000       4.705       1.122       0.000       0.000            0.000           25.627          379.933            5.130           29.649           46.718           20.013            0.000            0.000
   365    12    31  2001      76       0  rtu0760                0.000       0.000       7.137       4.014       0.000       0.000            0.000           18.893          186.197            2.383           14.740            0.310           36.260            0.000            0.000
   365    12    31  2001      77       0  rtu0770                0.000       0.000       6.825       4.125       0.000       0.000            0.000           40.623          268.737            3.770           21.092           11.186           34.941            0.000            0.000
   365    12    31  2001      78       0  rtu0780                0.000       0.000       2.330      -0.687       0.000       0.000            0.000           14.980          333.042            4.581           25.964           14.194           10.915            0.000            0.000
   365    12    31  2001      79       0  rtu0790                0.000       0.000       1.899      -0.722       0.000       0.000            0.000           88.171          354.706            4.436           27.575            0.073            1.323            0.000            0.000
   365    12    31  2001      80       0  rtu0800                0.000       0.000       6.847       3.812       0.000       0.000            0.000           12.720          180.093            2.411           14.257            0.331           37.344            0.000            0.000
   365    12    31  2001      81       0  rtu0810                0.000       0.000      10.715       6.325       0.000       0.000            0.000          117.757          580.411            8.024           45.263           54.419           34.928            0.000            0.000
   365    12    31  2001      82       0  rtu0820                0.000       0.000       2.114      -0.704       0.000       0.000            0.000           13.167          334.453            4.564           26.055           10.347            8.140            0.000            0.000
   365    12    31  2001      83       0  rtu0830                0.000       0.000       6.660       3.654       0.000       0.000            0.000           19.609          179.309            2.393           14.168            0.268           34.373            0.000            0.000
   365    12    31  2001      84       0  rtu0840                0.000       0.000       4.898       1.139       0.000       0.000            0.000           67.692          427.243            5.574           33.270           47.463           12.102            0.000            0.000
   365    12    31  2001      85       0  rtu0850                0.000       0.000       1.929       0.833       0.000       0.000            0.000            9.844          148.819            2.534           11.573            0.000            0.000            0.000            0.000
   365    12    31  2001      86       0  rtu0860                0.000       0.000       2.267      -0.683       0.000       0.000            0.000           62.357          350.718            4.466           27.304            9.607            7.957            0.000            0.000
   365    12    31  2001      87       0  rtu0870                0.000       0.000       1.940       0.816       0.000       0.000            0.000            7.382          146.791            2.534           11.416            0.000            0.000            0.000            0.000
   365    12    31  2001      88       0  rtu0880                0.000       0.000       2.015       0.928       0.000       0.000            0.000            9.577          158.674            2.468           12.329            0.000            0.000            0.000            0.000
   365    12    31  2001      89       0  rtu0890                0.000       0.000       9.409       5.580       0.000       0.000            0.000           99.727          598.181            8.126           46.543           88.145           15.796            0.000            0.000
   365    12    31  2001      90       0  rtu0900                0.000       0.000       2.166      -0.700       0.000       0.000            0.000          145.698          371.990            4.342           28.905            0.051            1.528            0.000            0.000
   365    12    31  2001      91       0  rtu0910                0.000       0.000       2.047       0.884       0.000       0.000            0.000           18.385          154.872            2.522           12.041            0.000            0.000            0.000            0.000
   365    12    31  2001      92       0  rtu0920                0.000       0.000       6.508       3.839       0.000       0.000            0.000           13.986          179.933            2.412           14.245            0.356           36.767            0.000            0.000
   365    12    31  2001      93       0  rtu0930                0.000       0.000       2.663      -0.647       0.000       0.000            0.000           27.348          342.176            4.526           26.673           12.700           10.891            0.000            0.000
   365    12    31  2001      94       0  rtu0940                0.000       0.000       5.004       2.761       0.000       0.000            0.000           21.465          172.608            2.426           13.573            0.185           21.437            0.000            0.000
   365    12    31  2001      95       0  rtu0950                0.000       0.000       9.870       5.616       0.000       0.000            0.000          179.443          630.523            7.995           48.976          104.200            6.416            0.000            0.000
   365    12    31  2001      96       0  rtu0960                0.000       0.000       3.963       2.061       0.000       0.000            0.000           20.364          180.928            2.423           14.135           15.218           10.331            0.000            0.000
   365    12    31  2001      97       0  rtu0970                0.000       0.000       6.804       3.799       0.000       0.000            0.000           12.792          179.784            2.413           14.233            0.326           37.089            0.000            0.000
   365    12    31  2001      98       0  rtu0980                0.000       0.000       3.883      -0.562       0.000       0.000            0.000            0.069          327.639            4.630           25.640           30.115           25.353            0.000            0.000
   365    12    31  2001      99       0  rtu0990                0.000       0.000       9.211       5.417       0.000       0.000            0.000           76.024          596.445            8.165           46.392           98.478           11.746            0.000            0.000
   365    12    31  2001     100       0  rtu1000                0.000       0.000       6.815       3.905       0.000       0.000            0.000           30.733          189.714            2.356           14.989            0.284           33.069            0.000            0.000
   365    12    31  2001     101       0  rtu1010                0.000       0.000       1.907       0.822       0.000       0.000            0.000            8.165          147.491            2.536           11.470            0.000            0.000            0.000            0.000
   365    12    31  2001     102       0  rtu1020                0.000       0.000       3.562      -0.335       0.000       0.000            0.000            4.838          338.743            4.640           26.441           25.739           18.467            0.000            0.000
   365    12    31  2001     103       0  rtu1030                0.000       0.000       4.451      -0.400       0.000       0.000            0.000           87.449          365.443            4.406           28.559           30.927           25.324            0.000            0.000
