 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  2005       5      50  aqu050                   26.043          3.003        349.826         54.784         18.250         10.924          4.778          0.000          0.000          0.000          1.216          0.000          0.358          0.249         26.043          0.000         26.043
   365    12    31  2005       6      60  aqu060                    4.480          3.049        347.544         33.608         18.250         11.285          4.317          0.000          0.000          0.000          1.169          0.000          0.052          0.227          4.480          0.000          4.480
   365    12    31  2005       7      70  aqu070                   78.095          2.963        351.875        104.747         18.250         11.285          7.814          0.000          0.000          0.000          2.671          0.000          1.733          0.406         78.095          0.000         78.095
   365    12    31  2005       8      80  aqu080                   71.472          2.965        351.743        103.661         18.250         11.285          8.347          0.000          0.000          0.000          2.873          0.000          1.695          0.433         71.472          0.000         71.472
   365    12    31  2005       9      90  aqu090                   15.411          3.029        348.555         43.804         18.250         10.924          3.669          0.000          0.000          0.000          0.865          0.000          0.163          0.192         15.411          0.000         15.411
   365    12    31  2005      10     100  aqu100                   50.698          2.982        350.914         78.030         18.250         10.470          4.089          0.000          0.000          0.000          1.226          0.000          0.594          0.213         50.698          0.000         50.698
   365    12    31  2005      11     110  aqu110                    7.880          3.044        347.778         36.106         18.250         10.924          3.119          0.000          0.000          0.000          0.700          0.000          0.070          0.164          7.880          0.000          7.880
   365    12    31  2005      12     120  aqu120                  120.011          2.943        352.827        151.345         18.250         10.990          9.382          0.000          0.000          0.000          4.101          0.000          3.198          0.486        120.011          0.000        120.011
   365    12    31  2005      13     130  aqu130                   93.675          2.960        352.021        118.078         18.250         10.470          6.051          0.000          0.000          0.000          2.280          0.000          1.615          0.314         93.675          0.000         93.675
   365    12    31  2005      14     140  aqu140                  126.649          2.940        353.013        158.219         18.250         10.990         12.455          0.000          0.000          0.000          5.592          0.000          4.483          0.645        126.649          0.000        126.649
