 LLYFNI2                  
  SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                  
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2010     232    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     233    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     234    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     235    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     236    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     237    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     238    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     239    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     240    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     241    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     242    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     243    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     244    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     245    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     246    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     247    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     248    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     249    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     250    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     251    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     252    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     253    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     254    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     255    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     256    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     257    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     258    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     259    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     260    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     261    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     262    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     263    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     264    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     265    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     266    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     267    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     268    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     269    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     270    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     271    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     272    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     273    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     274    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     275    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     276    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     277    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     278    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     279    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     280    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     281    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     282    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     283    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     284    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     285    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     286    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     287    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     288    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     289    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     290    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     291    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     292    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     293    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     294    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     295    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     297    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     298    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     299    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     300    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     301    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     302    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     303    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     304    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     305    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     306    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     307    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     308    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     309    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     310    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     311    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     312    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     313    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     314    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     315    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     316    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     317    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     318    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     319    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     320    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     321    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     322    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     323    rngb                        0.000       0.000       0.000       0.000
