 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
    365    12    31  2001    103       0  rtu1030                0.044       0.345       0.029       0.596       0.000       0.054       0.000       0.001       0.000
    365    12    31  2001    104       0  rtu1040                0.002       0.026       0.002       0.669       0.000       0.090       0.000       0.000       0.000
    365    12    31  2001    105       0  rtu1050                0.018       0.147       0.012       0.329       0.000       0.032       0.000       0.001       0.000
    365    12    31  2001    106       0  rtu1060                0.140       0.436       0.042       0.214       0.000       0.016       0.000       0.004       0.000
    365    12    31  2001    107       0  rtu1070                0.014       0.175       0.012       0.331       0.000       0.010       0.000       0.000       0.000
    365    12    31  2001    108       0  rtu1080                0.149       0.411       0.057       0.244       0.000       0.076       0.000       0.004       0.000
    365    12    31  2001    109       0  rtu1090               18.368       4.841       0.284      35.467       0.000       0.006       0.000       0.039       0.000
    365    12    31  2001    110       0  rtu1100                0.192       1.513       0.126       0.824       0.000       0.091       0.000       0.006       0.000
    365    12    31  2001    111       0  rtu1110                0.086       0.241       0.031       0.066       0.000       0.025       0.000       0.002       0.000
    365    12    31  2001    112       0  rtu1120                0.009       0.070       0.005       0.015       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    113       0  rtu1130                0.034       0.222       0.014       0.247       0.000       0.001       0.000       0.001       0.000
    365    12    31  2001    114       0  rtu1140               25.429       5.785       0.395      24.173       0.000       0.035       0.000       0.037       0.000
    365    12    31  2001    115       0  rtu1150                0.028       0.210       0.017       0.125       0.000       0.011       0.000       0.001       0.000
    365    12    31  2001    116       0  rtu1160                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    117       0  rtu1170                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    118       0  rtu1180                0.227       1.729       0.142       0.433       0.000       0.046       0.000       0.007       0.000
    365    12    31  2001    119       0  rtu1190                0.066       0.421       0.035       0.011       0.000       0.002       0.000       0.002       0.000
    365    12    31  2001    120       0  rtu1200                0.207       1.631       0.135       0.696       0.000       0.066       0.000       0.006       0.000
    365    12    31  2001    121       0  rtu1210               30.757       8.336       0.463       0.114       0.000       0.000       0.000       0.012       0.000
    365    12    31  2001    122       0  rtu1220                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    123       0  rtu1230                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    124       0  rtu1240                0.003       0.017       0.001       0.225       0.000       0.010       0.000       0.000       0.000
    365    12    31  2001    125       0  rtu1250                0.209       0.585       0.082       0.280       0.000       0.077       0.000       0.005       0.000
    365    12    31  2001    126       0  rtu1260                0.075       0.248       0.031       0.078       0.000       0.026       0.000       0.002       0.000
    365    12    31  2001    127       0  rtu1270                0.019       0.094       0.010       0.030       0.000       0.010       0.000       0.000       0.000
    365    12    31  2001    128       0  rtu1280                0.095       0.260       0.036       0.075       0.000       0.027       0.000       0.002       0.000
    365    12    31  2001    129       0  rtu1290                0.170       0.457       0.064       0.141       0.000       0.048       0.000       0.004       0.000
    365    12    31  2001    130       0  rtu1300                0.035       0.292       0.020       0.351       0.000       0.008       0.000       0.001       0.000
    365    12    31  2001    131       0  rtu1310                0.117       0.320       0.044       0.123       0.000       0.041       0.000       0.003       0.000
    365    12    31  2001    132       0  rtu1320                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    133       0  rtu1330                0.091       0.248       0.034       0.077       0.000       0.028       0.000       0.002       0.000
    365    12    31  2001    134       0  rtu1340               59.659      12.886       0.716       0.301       0.000       0.000       0.000       0.015       0.000
    365    12    31  2001    135       0  rtu1350                0.031       0.199       0.013       0.013       0.000       0.000       0.000       0.001       0.000
    365    12    31  2001    136       0  rtu1360                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
